Symbol	Name	LastSale	MarketCap	ADR TSO	Sector	Industry
ADILW	"Adial Pharmaceuticals, Inc"	0.2	0	n/a	Health Care	Major Pharmaceuticals
ADMA	ADMA Biologics Inc	3.64	215916813.8	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ADBE	Adobe Inc.	311.27	1.51103E+11	n/a	Technology	Computer Software: Prepackaged Software
ADOM	"ADOMANI, Inc."	0.2473	18018392.5	n/a	Capital Goods	Auto Parts:O.E.M.
ADTN	"ADTRAN, Inc."	11.43	546458607.4	n/a	Public Utilities	Telecommunications Equipment
ADRO	"Aduro Biotech, Inc."	1.36	108858108.7	n/a	Health Care	Major Pharmaceuticals
ADES	"Advanced Emissions Solutions, Inc."	12.97	241881382.1	n/a	Basic Industries	Major Chemicals
AEIS	"Advanced Energy Industries, Inc."	59.56	2277323176	n/a	Capital Goods	Industrial Machinery/Components
AMD	"Advanced Micro Devices, Inc."	34.02	36796056596	n/a	Technology	Semiconductors
ADXS	"Advaxis, Inc."	0.6589	5284915.004	n/a	Health Care	Major Pharmaceuticals
ADVM	"Adverum Biotechnologies, Inc."	13.78	878898941.7	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
DWMC	AdvisorShares Dorsey Wright Micro-Cap ETF	23.4597	1172985	n/a	n/a	n/a
DWSH	AdvisorShares Dorsey Wright Short ETF	25.268	24636300	n/a	n/a	n/a
BKCH	AdvisorShares Sabretooth ETF	28.96	2896000	n/a	n/a	n/a
ACT	AdvisorShares Vice ETF	25.423	13982650	n/a	n/a	n/a
AEGN	Aegion Corp	18.7	586105311	n/a	Basic Industries	Water Supply
AGLE	"Aeglea BioTherapeutics, Inc."	8.36	241171813.1	n/a	Health Care	Major Pharmaceuticals
AEHR	Aehr Test Systems	1.46	32940584.24	n/a	Capital Goods	Electrical Products
AMTX	"Aemetis, Inc"	0.99	20171682.63	n/a	Basic Industries	Major Chemicals
AERI	"Aerie Pharmaceuticals, Inc."	22.8	1046926615	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AVAV	"AeroVironment, Inc."	54.22	1298165495	n/a	Capital Goods	Aerospace
ARPO	"Aerpio Pharmaceuticals, Inc."	0.78	31658643.12	n/a	Health Care	Major Pharmaceuticals
AEZS	AEterna Zentaris Inc.	2.47	40608677.2	n/a	Health Care	Major Pharmaceuticals
AEMD	"Aethlon Medical, Inc."	0.3	5731071	n/a	Capital Goods	Biotechnology: Laboratory Analytical Instruments
GNMX	"Aevi Genomic Medicine, Inc."	0.178	11528505	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AFMD	Affimed N.V.	2.99	186666016.9	n/a	Health Care	Major Pharmaceuticals
AFYA	Afya Limited	28.15	2468266429	n/a	Consumer Services	Other Consumer Services
AGBA	AGBA Acquisition Limited	n/a	0	n/a	Finance	Business Services
AGBAR	AGBA Acquisition Limited	0.2	0	n/a	Finance	Business Services
AGBAU	AGBA Acquisition Limited	10.02	59869500	n/a	Finance	Business Services
AGBAW	AGBA Acquisition Limited	n/a	0	n/a	Finance	Business Services
AGEN	Agenus Inc.	2.4	322220553.6	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AGRX	"Agile Therapeutics, Inc."	1.3	56866122.3	n/a	Health Care	Major Pharmaceuticals
AGYS	"Agilysys, Inc."	24.1	569948443.3	n/a	Technology	EDP Services
AGIO	"Agios Pharmaceuticals, Inc."	45.59	2676649671	n/a	Health Care	Major Pharmaceuticals
AGMH	AGM Group Holdings Inc.	16.9	561351329.5	n/a	Technology	EDP Services
AGNC	AGNC Investment Corp.	17.41	9537198000	n/a	Consumer Services	Real Estate Investment Trusts
AGNCB	AGNC Investment Corp.	25.86	8959199146	n/a	Consumer Services	Real Estate Investment Trusts
AGNCM	AGNC Investment Corp.	25.55	0	n/a	Consumer Services	Real Estate Investment Trusts
AGNCN	AGNC Investment Corp.	26.12	339560	n/a	Consumer Services	Real Estate Investment Trusts
AGFS	"AgroFresh Solutions, Inc."	1.55	79752511.15	n/a	Finance	Business Services
AGFSW	"AgroFresh Solutions, Inc."	0.0184	0	n/a	Finance	Business Services
ALRN	"Aileron Therapeutics, Inc."	0.4851	12958775.61	n/a	Health Care	Major Pharmaceuticals
AIMT	"Aimmune Therapeutics, Inc."	18.79	1174232854	n/a	Health Care	Major Pharmaceuticals
AIRT	"Air T, Inc."	18.8	57086143.6	n/a	Transportation	Air Freight/Delivery Services
AIRTP	"Air T, Inc."	2.4	0	n/a	Transportation	Air Freight/Delivery Services
AIRTW	"Air T, Inc."	0.06	0	n/a	Transportation	Air Freight/Delivery Services
ATSG	"Air Transport Services Group, Inc"	23.98	1423140173	n/a	Transportation	Air Freight/Delivery Services
AIRG	"Airgain, Inc."	13.24	133214551.3	n/a	Technology	Radio And Television Broadcasting And Communications Equipment
ANTE	AirNet Technology Inc.	1.44	13011192	9035550	Technology	Advertising
AKAM	"Akamai Technologies, Inc."	83.92	13771011764	n/a	Miscellaneous	Business Services
AKTX	Akari Therapeutics Plc	1.94	30572688.92	15759118	Health Care	Major Pharmaceuticals
AKCA	"Akcea Therapeutics, Inc."	22.05	2045587254	n/a	Health Care	Major Pharmaceuticals
AKBA	"Akebia Therapeutics, Inc."	3.89	458485482.9	n/a	Health Care	Major Pharmaceuticals
KERN	Akerna Corp.	11.37	84493312.5	n/a	Technology	EDP Services
KERNW	Akerna Corp.	2.1349	0	n/a	Technology	EDP Services
AKRO	"Akero Therapeutics, Inc."	26.12	706418586.6	n/a	Health Care	Major Pharmaceuticals
AKER	Akers Biosciences Inc.	0.42	5249037.36	n/a	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX	"Akorn, Inc."	3.48	437958967.4	n/a	Health Care	Major Pharmaceuticals
AKTS	"Akoustis Technologies, Inc."	5.6	168317105.6	n/a	Public Utilities	Telecommunications Equipment
ALRM	"Alarm.com Holdings, Inc."	51.09	2469324234	n/a	Technology	Computer Software: Prepackaged Software
ALSK	"Alaska Communications Systems Group, Inc."	1.94	104342155	n/a	Public Utilities	Telecommunications Equipment
ALAC	Alberton Acquisition Corporation	10.12	148660270	n/a	Finance	Business Services
ALACR	Alberton Acquisition Corporation	0.285	0	n/a	Finance	Business Services
ALACU	Alberton Acquisition Corporation	10.5	0	n/a	Finance	Business Services
ALACW	Alberton Acquisition Corporation	0.12	0	n/a	Finance	Business Services
ALBO	"Albireo Pharma, Inc."	26.94	324338876.7	n/a	Health Care	Major Pharmaceuticals
ABDC	Alcentra Capital Corp.	8.38	107897243.1	n/a	n/a	n/a
ALDR	"Alder BioPharmaceuticals, Inc."	10.43	870944842.6	n/a	Health Care	Major Pharmaceuticals
ALDX	"Aldeyra Therapeutics, Inc."	5.35	147074447.9	n/a	Health Care	Major Pharmaceuticals
ALEC	"Alector, Inc."	20.99	1445618914	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ALXN	"Alexion Pharmaceuticals, Inc."	114.63	25703127025	n/a	Health Care	Major Pharmaceuticals
ALCO	"Alico, Inc."	31.56	235754178.4	n/a	Consumer Non-Durables	Farming/Seeds/Milling
ALGN	"Align Technology, Inc."	198.84	15908172725	n/a	Health Care	Industrial Specialties
ALIM	"Alimera Sciences, Inc."	0.91	64610450.45	n/a	Health Care	Major Pharmaceuticals
ALYA	Alithya Group inc.	2.92	141622636.8	n/a	Technology	"Computer Software: Programming, Data Processing"
ALJJ	"ALJ Regional Holdings, Inc."	1.75	66546261.25	n/a	Miscellaneous	Business Services
ALKS	Alkermes plc	20.56	3225956294	n/a	Health Care	Major Pharmaceuticals
ALLK	Allakos Inc.	33.92	1462758380	n/a	Health Care	Major Pharmaceuticals
ABTX	"Allegiance Bancshares, Inc."	35.29	753141323.3	n/a	Finance	Major Banks
ALGT	Allegiant Travel Company	152.63	2485879163	n/a	Transportation	Air Freight/Delivery Services
ALGR	Allegro Merger Corp.	10.09	192315400	n/a	Finance	Business Services
ALGRR	Allegro Merger Corp.	0.23	0	n/a	Finance	Business Services
ALGRU	Allegro Merger Corp.	10.653	0	n/a	Finance	Business Services
ALGRW	Allegro Merger Corp.	0.28	0	n/a	Finance	Business Services
ALNA	"Allena Pharmaceuticals, Inc."	4.03	83888737.92	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ARLP	"Alliance Resource Partners, L.P."	17.13	2199341102	n/a	Energy	Coal Mining
LNT	Alliant Energy Corporation	49.79	11819867624	n/a	Public Utilities	Power Generation
AHPI	"Allied Healthcare Products, Inc."	1.55	6220982.35	n/a	Health Care	Industrial Specialties
AMOT	"Allied Motion Technologies, Inc."	39.71	381497186.5	n/a	Capital Goods	Electrical Products
ALLO	"Allogene Therapeutics, Inc."	29.36	3568394435	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ALLT	Allot Ltd.	7.65	260382223.8	n/a	Technology	Computer Communications Equipment
MDRX	"Allscripts Healthcare Solutions, Inc."	10.54	1754257838	n/a	Technology	EDP Services
ALNY	"Alnylam Pharmaceuticals, Inc."	76.36	8135148368	n/a	Health Care	Major Pharmaceuticals
AOSL	Alpha and Omega Semiconductor Limited	10.64	258464879.7	n/a	Technology	Semiconductors
GOOG	Alphabet Inc.	1250.41	8.68089E+11	n/a	Technology	"Computer Software: Programming, Data Processing"
GOOGL	Alphabet Inc.	1245.22	8.64486E+11	n/a	Technology	"Computer Software: Programming, Data Processing"
SMCP	AlphaMark Actively Managed Small Cap ETF	23.58	22401023.58	n/a	n/a	n/a
ATEC	"Alphatec Holdings, Inc."	5.17	242252861.4	n/a	Health Care	Medical/Dental Instruments
ALPN	"Alpine Immune Sciences, Inc."	4.67	86727284.51	n/a	Health Care	Major Pharmaceuticals
AMR	"Alta Mesa Resources, Inc."	0.1396	53170718.31	n/a	Energy	Oil & Gas Production
AMRWW	"Alta Mesa Resources, Inc."	0.006	0	n/a	Energy	Oil & Gas Production
AABA	Altaba Inc.	71.01	36890502100	n/a	Technology	EDP Services
ALTR	Altair Engineering Inc.	42.87	3052932519	n/a	Technology	Computer Software: Prepackaged Software
ATHE	Alterity Therapeutics Limited	1.1156	7634238.221	6843168	Health Care	Major Pharmaceuticals
ALT	"Altimmune, Inc."	2.41	36964580	n/a	Health Care	Major Pharmaceuticals
ASPS	Altisource Portfolio Solutions S.A.	20.74	337620155	n/a	Consumer Services	Other Consumer Services
AIMC	Altra Industrial Motion Corp.	28.45	1834872280	n/a	Capital Goods	Industrial Machinery/Components
ALTM	Altus Midstream Company	3.56	1156748326	n/a	Public Utilities	Natural Gas Distribution
AMAG	"AMAG Pharmaceuticals, Inc."	8.51	287356650.9	n/a	Health Care	Major Pharmaceuticals
AMAL	Amalgamated Bank	16.91	537257502.4	n/a	Consumer Non-Durables	Textiles
AMRN	Amarin Corporation plc	18.32	6001077270	327569720	Health Care	Major Pharmaceuticals
AMRK	"A-Mark Precious Metals, Inc."	12.1	85080545	n/a	Basic Industries	Other Specialty Stores
AMZN	"Amazon.com, Inc."	1943.05	9.56625E+11	n/a	Consumer Services	Catalog/Specialty Distribution
AMBC	"Ambac Financial Group, Inc."	17.93	816183300.1	n/a	Finance	Property-Casualty Insurers
AMBCW	"Ambac Financial Group, Inc."	7.898	0	n/a	Finance	Property-Casualty Insurers
AMBA	"Ambarella, Inc."	49.59	1623554780	n/a	Technology	Semiconductors
AMCX	AMC Networks Inc.	52.81	3000182150	n/a	Consumer Services	Television Services
AMCI	AMCI Acquisition Corp.	9.98	275099658.1	n/a	Finance	Business Services
AMCIU	AMCI Acquisition Corp.	10.24	0	n/a	Finance	Business Services
AMCIW	AMCI Acquisition Corp.	0.35	0	n/a	Finance	Business Services
DOX	Amdocs Limited	64.43	8835350330	n/a	Technology	EDP Services
AMED	Amedisys Inc	135.83	4352651704	n/a	Health Care	Medical/Nursing Services
AMTB	Amerant Bancorp Inc.	17.98	776818564.2	n/a	Finance	Major Banks
AMTBB	Amerant Bancorp Inc.	13.7063	592175099.3	n/a	Finance	Major Banks
UHAL	Amerco	386.85	7585272788	n/a	Consumer Services	Rental/Leasing Companies
AMRH	"Ameri Holdings, Inc."	0.3106	15628673.89	n/a	Technology	Semiconductors
AMRHW	"Ameri Holdings, Inc."	0.09	0	n/a	Technology	Semiconductors
ATAX	"America First Multifamily Investors, L.P."	7.04	425400286.1	n/a	Finance	Finance: Consumer Services
AMOV	"America Movil, S.A.B. de C.V."	14.0401	46344214818	n/a	Public Utilities	Telecommunications Equipment
AAL	"American Airlines Group, Inc."	31.24	13896648993	n/a	Transportation	Air Freight/Delivery Services
AETI	"American Electric Technologies, Inc."	0.8901	8359208.591	n/a	Energy	Industrial Machinery/Components
AFIN	"American Finance Trust, Inc."	11.72	1244793283	n/a	Consumer Services	Real Estate Investment Trusts
AFINP	"American Finance Trust, Inc."	25.75	30900000	n/a	Consumer Services	Real Estate Investment Trusts
AMNB	"American National Bankshares, Inc."	36.58	407550765.9	n/a	Finance	Major Banks
ANAT	American National Insurance Company	123.25	3313847400	n/a	Finance	Life Insurance
AOBC	American Outdoor Brands Corporation	9.36	512946186.5	n/a	Capital Goods	Ordnance And Accessories
APEI	"American Public Education, Inc."	32.41	537557445.6	n/a	Consumer Services	Other Consumer Services
AREC	American Resources Corporation	3.03	70648076.91	n/a	Consumer Services	Other Consumer Services
AMRB	American River Bankshares	13.26	78070292.04	n/a	Finance	Major Banks
AMSWA	"American Software, Inc."	13.52	423935945.7	n/a	Technology	Computer Software: Prepackaged Software
AMSC	American Superconductor Corporation	8.81	190413772.1	n/a	Consumer Durables	Metal Fabrications
AMWD	American Woodmark Corporation	85.63	1444573733	n/a	Basic Industries	Forest Products
CRMT	"America&#39;s Car-Mart, Inc."	88.66	593598293.9	n/a	Consumer Durables	Automotive Aftermarket
ABCB	Ameris Bancorp	39.76	2774809089	n/a	Finance	Major Banks
AMSF	"AMERISAFE, Inc."	65.55	1263474939	n/a	Finance	Property-Casualty Insurers
ASRV	AmeriServ Financial Inc.	4.1	71275855.5	n/a	Finance	Major Banks
ASRVP	AmeriServ Financial Inc.	29.95	628950	n/a	Finance	Major Banks
ATLO	Ames National Corporation	27.67	255452815.7	n/a	Finance	Major Banks
AMGN	Amgen Inc.	175.34	1.06946E+11	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
FOLD	"Amicus Therapeutics, Inc."	12.72	3243600000	n/a	Health Care	Major Pharmaceuticals
AMKR	"Amkor Technology, Inc."	8.2	1964942294	n/a	Technology	Semiconductors
AMPH	"Amphastar Pharmaceuticals, Inc."	19.72	928129076.7	n/a	Health Care	Major Pharmaceuticals
IBUY	Amplify Online Retail ETF	51.33	287448000	n/a	n/a	n/a
ASYS	"Amtech Systems, Inc."	6.04	86009340.28	n/a	Technology	Industrial Machinery/Components
AMRS	"Amyris, Inc."	2.82	290331323.4	n/a	Basic Industries	Major Chemicals
ADI	"Analog Devices, Inc."	121.8	45036917449	n/a	Technology	Semiconductors
ANAB	"AnaptysBio, Inc."	54.68	1477657283	n/a	Health Care	Major Pharmaceuticals
AVXL	Anavex Life Sciences Corp.	2.55	129369111.8	n/a	Health Care	Biotechnology: Commercial Physical & Biological Resarch
ANCN	Anchiano Therapeutics Ltd.	3.58	9068354.8	2533060	Health Care	Major Pharmaceuticals
ANDA	Andina Acquisition Corp. III	9.92	137838400	n/a	Finance	Business Services
ANDAR	Andina Acquisition Corp. III	0.27	0	n/a	Finance	Business Services
ANDAU	Andina Acquisition Corp. III	10.33	0	n/a	Finance	Business Services
ANDAW	Andina Acquisition Corp. III	0.21	0	n/a	Finance	Business Services
ANGI	ANGI Homeservices Inc.	13.96	7071067264	n/a	Consumer Services	Advertising
ANGO	"AngioDynamics, Inc."	20.89	777440025.7	n/a	Health Care	Medical/Dental Instruments
ANIP	"ANI Pharmaceuticals, Inc."	84.26	1015140971	n/a	Health Care	Major Pharmaceuticals
ANIK	Anika Therapeutics Inc.	55.85	793456482	n/a	Health Care	Medical/Dental Instruments
ANIX	"Anixa Biosciences, Inc."	4.7	94454692.1	n/a	Health Care	Medical Specialities
ANSS	"ANSYS, Inc."	213.15	17889345494	n/a	Technology	Computer Software: Prepackaged Software
ATRS	"Antares Pharma, Inc."	3.2	520383395.2	n/a	Health Care	Medical/Dental Instruments
APLS	"Apellis Pharmaceuticals, Inc."	28.76	1818566010	n/a	Health Care	Major Pharmaceuticals
APEX	Apex Global Brands Inc.	0.498	7941084.594	n/a	Consumer Non-Durables	Apparel
APOG	"Apogee Enterprises, Inc."	41.15	1091250348	n/a	Capital Goods	Auto Parts:O.E.M.
APEN	"Apollo Endosurgery, Inc."	2.89	63386682.12	n/a	Health Care	Medical/Dental Instruments
AINV	Apollo Investment Corporation	16.52	1124490398	n/a	n/a	n/a
AMEH	"Apollo Medical Holdings, Inc."	14.76	527936801.8	n/a	Consumer Services	Professional Services
APPF	"AppFolio, Inc."	105.8	3597813005	n/a	Technology	Computer Software: Prepackaged Software
APPN	Appian Corporation	39.89	2580895166	n/a	Technology	Computer Software: Prepackaged Software
AAPL	Apple Inc.	207.74	9.55827E+11	n/a	Technology	Computer Manufacturing
ARCI	"Appliance Recycling Centers of America, Inc."	4.1	6947716.5	n/a	Consumer Services	Home Furnishings
APDN	Applied DNA Sciences Inc	0.28	10607843.96	n/a	Consumer Services	Other Consumer Services
APDNW	Applied DNA Sciences Inc	0.0098	0	n/a	Consumer Services	Other Consumer Services
AGTC	Applied Genetic Technologies Corporation	3.95	71776674.5	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
AMAT	"Applied Materials, Inc."	50.74	47497964097	n/a	Technology	Semiconductors
AAOI	"Applied Optoelectronics, Inc."	9.31	185637918.1	n/a	Technology	Semiconductors
APLT	"Applied Therapeutics, Inc."	8.75	149206767.5	n/a	Health Care	Major Pharmaceuticals
AREX	Approach Resources Inc.	0.2725	25532491.91	n/a	Energy	Oil & Gas Production
APVO	Aptevo Therapeutics Inc.	0.861	38822678.56	n/a	Health Care	Major Pharmaceuticals
APTX	Aptinyx Inc.	3.73	125566981.1	n/a	Health Care	Major Pharmaceuticals
APM	Aptorum Group Limited	22.38	649805896.1	n/a	Health Care	Major Pharmaceuticals
APTO	"Aptose Biosciences, Inc."	2.41	133600608.2	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
APYX	Apyx Medical Corporation	6.89	233700428.7	n/a	Health Care	Medical/Dental Instruments
AQMS	"Aqua Metals, Inc."	1.84	82371064.72	n/a	Basic Industries	Metal Fabrications
AQB	"AquaBounty Technologies, Inc."	3.29	71059245.95	n/a	n/a	n/a
AQST	"Aquestive Therapeutics, Inc."	3.65	91159257.35	n/a	Health Care	Major Pharmaceuticals
AQXP	"Aquinox Pharmaceuticals, Inc."	2.73	64257014.64	n/a	Health Care	Major Pharmaceuticals
ARAV	"Aravive, Inc."	5.68	64050520	n/a	Health Care	Major Pharmaceuticals
ABUS	Arbutus Biopharma Corporation	1.8	104425509.6	n/a	Health Care	Major Pharmaceuticals
ABIO	"ARCA biopharma, Inc."	6.8	9897780.8	n/a	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA	"Arcadia Biosciences, Inc."	2.75	17234233.5	n/a	Basic Industries	Agricultural Chemicals
ARCB	ArcBest Corporation	27.97	713606833.2	n/a	Transportation	Trucking Freight/Courier Services
ACGL	Arch Capital Group Ltd.	38.2	15425290338	n/a	Finance	Property-Casualty Insurers
ACGLO	Arch Capital Group Ltd.	25.29	0	n/a	Finance	Property-Casualty Insurers
ACGLP	Arch Capital Group Ltd.	24.45	0	n/a	Finance	Property-Casualty Insurers
FUV	"Arcimoto, Inc."	3.18	51983431.38	n/a	Consumer Non-Durables	Motor Vehicles
ARCE	Arco Platform Limited	44.76	1016108353	n/a	Consumer Services	Other Consumer Services
ARCT	Arcturus Therapeutics Holdings Inc.	11.56	151653836.6	n/a	Health Care	Major Pharmaceuticals
ARDX	"Ardelyx, Inc."	2.38	148989054.3	n/a	Health Care	Major Pharmaceuticals
ARNA	"Arena Pharmaceuticals, Inc."	63.03	3124401260	n/a	Health Care	Major Pharmaceuticals
ARCC	Ares Capital Corporation	18.21	7762890222	n/a	n/a	n/a
ARGX	argenx SE	142.5	3009385110	21118492	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ARDS	Aridis Pharmaceuticals Inc.	9.44	76532817.6	n/a	Health Care	Major Pharmaceuticals
ARKR	Ark Restaurants Corp.	20.29	70991544.76	n/a	Consumer Services	Restaurants
ARTX	Arotech Corporation	1.86	49597346.4	n/a	Miscellaneous	Industrial Machinery/Components
ARQL	"ArQule, Inc."	10.4	1250318004	n/a	Health Care	Major Pharmaceuticals
ARRY	Array BioPharma Inc.	47.29	10550182365	n/a	Health Care	Major Pharmaceuticals
DWCR	Arrow DWA Country Rotation ETF	27.51	15130500	n/a	n/a	n/a
DWAT	Arrow DWA Tactical ETF	11.165	4466000	n/a	n/a	n/a
AROW	Arrow Financial Corporation	33.7	489261756.1	n/a	Finance	Major Banks
ARWR	"Arrowhead Pharmaceuticals, Inc."	29.52	2798911819	n/a	Health Care	Major Pharmaceuticals
ARTL	"Artelo Biosciences, Inc."	3.41	11600775.67	n/a	Miscellaneous	Business Services
ARTLW	"Artelo Biosciences, Inc."	0.87	0	n/a	Miscellaneous	Business Services
ARTNA	Artesian Resources Corporation	34.87	323403209.8	n/a	Public Utilities	Water Supply
ARTW	"Art&#39;s-Way Manufacturing Co., Inc."	2.11	9055512.32	n/a	Capital Goods	Industrial Machinery/Components
ARVN	"Arvinas, Inc."	27.61	929699436.8	n/a	Health Care	Major Pharmaceuticals
ARYA	ARYA Sciences Acquisition Corp.	9.99	179507812.5	n/a	Finance	Business Services
ARYAU	ARYA Sciences Acquisition Corp.	10.6746	0	n/a	Finance	Business Services
ARYAW	ARYA Sciences Acquisition Corp.	1.32	0	n/a	Finance	Business Services
ASNA	"Ascena Retail Group, Inc."	0.4382	86674590.63	n/a	Consumer Services	Clothing/Shoe/Accessory Stores
ASND	Ascendis Pharma A/S	116.43	5248002728	45074317	Health Care	Major Pharmaceuticals
APWC	Asia Pacific Wire & Cable Corporation Limited	2.051	28344141.12	n/a	Basic Industries	Telecommunications Equipment
